Erzeugung-Stein und Braunkohle,50080
Erzeugung-Rohoel,3047
Erzeugung-Naturgas,11261
Erzeugung-Kernenergie,38289
Erzeugung-Erneuerbare Energien-Sonnenenergie,744
Erzeugung-Erneuerbare Energien-Biomasse und Abfaelle,23467
Erzeugung-Erneuerbare Energien-geothermische Energie,238
Erzeugung-Erneuerbare Energien-Wasserkraft,1814
Erzeugung-Erneuerbare Energien-Windkraft,3480
