1, 1, Erzeugung,.
2, 1, Erzeugung,.
3, 1, Erzeugung,.
4, 1, Erzeugung,.
5, 1, Erzeugung,.
6, 1, Erzeugung,.
7, 1, Erzeugung,.
8, 1, Erzeugung,.
9, 1, Erzeugung,.
1, 2, Stein und Braunkohle,0
2, 2, Rohoel,0
3, 2, Naturgas,0
4, 2, Kernenergie,0
5, 2, erneuerbare Energien,0
6, 2, erneuerbare Energien,0
7, 2, erneuerbare Energien,0
8, 2, erneuerbare Energien,0
9, 2, erneuerbare Energien,0
5, 3, Sonnenenergie,0
6, 3, Biomasse und Abfaelle,0
7, 3, geothermische Energie,0
8, 3, Wasserkraft,0
9, 3, Windkraft,0
